title,tempo,vocal_tone_quality,sound_brightness,musical_note_strength,sound_loudness
Flowers,117.45383522727273,-64.27018,1960.5512182040857,0.42774075,0.28633428
Where_the_Wild_Things_Are,117.45383522727273,-44.337677,2105.3380520376513,0.3448183,0.26309142
Everybody,135.99917763157896,-64.53668,2142.66033417974,0.47831103,0.3335223
La_Diabla,129.19921875,-53.028637,2298.759700632687,0.32822007,0.25767958
Stargazing,123.046875,-69.526665,1910.2416398871167,0.24954024,0.27322754
Last_Christmas,107.666015625,-91.50703,2678.6786211356093,0.27312222,0.16878009
I_Am_Not_Okay,151.99908088235293,-45.95895,2304.80423134124,0.23573601,0.24679725
Pour_Me_a_Drink,117.45383522727273,5.9174967,2489.67852967729,0.36059365,0.3093978
White_Horse,143.5546875,-159.39996,1985.8854543048674,0.38312262,0.059125073
Lil_Boo_Thang,112.34714673913044,-63.10245,2510.999796822835,0.49626693,0.24294002
Good_Good,143.5546875,-77.506226,2607.490075474124,0.46509728,0.24428372
High_Road,135.99917763157896,-46.32745,2294.0242845175826,0.35360816,0.23357074
Monaco,135.99917763157896,-151.39926,2085.7162263850973,0.46136087,0.20033547
IDGAF,135.99917763157896,-152.8515,2485.450625238396,0.31552023,0.17617252
Burn_It_Down,161.4990234375,-68.07581,2080.49142145418,0.28305492,0.22904466
FukUMean,129.19921875,-93.374435,2560.486296417786,0.41008195,0.26654604
Taste,112.34714673913044,-94.34549,2669.975965698176,0.3654131,0.1920467
Where_It_Ends,172.265625,-27.128256,2600.0807612677672,0.31617793,0.25109872
FTCU,143.5546875,-154.67467,1897.614660850714,0.42907596,0.32273713
Wildflower,143.5546875,-187.80728,1480.9249309437448,0.30951473,0.13800749
World_on_Fire,95.703125,-23.57225,2521.829281148866,0.30478314,0.26680225
On_My_Mama,151.99908088235293,-133.42622,1772.916051122972,0.37488866,0.18510406
"Yes,_And?",117.45383522727273,-141.88152,2985.2679989160365,0.37385142,0.104849644
Exes,135.99917763157896,-98.99905,2156.000663485995,0.4144644,0.24688056
A_Holly_Jolly_Christmas,143.5546875,-196.76216,2303.000990691451,0.3733773,0.06912305
Wind_Up_Missin'_You,86.1328125,-81.83437,1980.2850969599176,0.3525878,0.21413064
Bulletproof,161.4990234375,-19.174469,2774.706106525891,0.3258418,0.24746796
The_Painter,129.19921875,-127.51094,1890.0127713477789,0.30587366,0.12622671
Down_Bad,107.666015625,-212.3553,1642.3867003751527,0.3944585,0.107822925
Dance_the_Night,112.34714673913044,-57.72313,2773.1946041742767,0.35660723,0.22981092
